id	name	description	characterType	thumbnail
c9c70433-b96c-11e4-a802-0aaa78deedf9	Pivot	Rotate From Front Foot	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/110390901/static.png
c9cacdf1-b96c-11e4-a802-0aaa78deedf9	Plank	Plank Position	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/120030901/static.png
c9cda04a-b96c-11e4-a802-0aaa78deedf9	Plant A Plant	Kneeling Planting A Plant	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/126830901/static.png
c9cd9f7a-b96c-11e4-a802-0aaa78deedf9	Plant Tree	Standing Planting A Tree	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/126820901/static.png
c9c7fcea-b96c-11e4-a802-0aaa78deedf9	Playing Drums	Basic Rock Beat	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113820901/static.png
c9ca549f-b96c-11e4-a802-0aaa78deedf9	Playing The Violin	Playing A Short Piece On The Violin	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/119700901/static.png
c9c9897a-b96c-11e4-a802-0aaa78deedf9	Plotting	Evil Plotting	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117950901/static.png
c9c693bf-b96c-11e4-a802-0aaa78deedf9	Pointing	Pointing Behind With Thumb	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/102840901/static.png
c9c78d87-b96c-11e4-a802-0aaa78deedf9	Pointing	Pointing While Seated	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113300901/static.png
c9c6947c-b96c-11e4-a802-0aaa78deedf9	Pointing	Pointing With Arm Bent	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/102840903/static.png
c9c91d36-b96c-11e4-a802-0aaa78deedf9	Pointing Forward	Looking Down Then Pointing Forward	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117240901/static.png
c9cd9ac5-b96c-11e4-a802-0aaa78deedf9	Pointing Gesture	Aj Pointing Gesture	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/127420901/static.png
c9cd9608-b96c-11e4-a802-0aaa78deedf9	Pointing Gesture	Big Vegas Pointing Gesture	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/127360901/static.png
c9cbca55-b96c-11e4-a802-0aaa78deedf9	Pontera	Capoeira Front Kick	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/121270901/static.png
c9c90bfa-b96c-11e4-a802-0aaa78deedf9	Pouting	Standing Pout Gesture	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117170901/static.png
c9c69fb6-b96c-11e4-a802-0aaa78deedf9	Praying	Buckled Stand And Praying	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/103120902/static.png
c9c6a06d-b96c-11e4-a802-0aaa78deedf9	Praying	Falling To Knees In Prayer	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/103130901/static.png
c9c6a211-b96c-11e4-a802-0aaa78deedf9	Praying	Kneeling In Prayer	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/103130904/static.png
c9c6a14d-b96c-11e4-a802-0aaa78deedf9	Praying	Kneeling In Prayer To Standing Up	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/103130903/static.png
c9c6a884-b96c-11e4-a802-0aaa78deedf9	Praying	Standing Praying While Swaying	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/103480901/static.png
c9c9603c-b96c-11e4-a802-0aaa78deedf9	Prone Backwards Start	Transition Into Prone Backwards From Prone	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117370901/static.png
c9c961f4-b96c-11e4-a802-0aaa78deedf9	Prone Backwards Stop	Transition Into Prone From Prone Backwards	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117370902/static.png
c9c8a3f3-b96c-11e4-a802-0aaa78deedf9	Prone Death	Dying From A Prone Position	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/116780901/static.png
c9c85afc-b96c-11e4-a802-0aaa78deedf9	Prone Firing Rifle	Firing A Rifle While Prone	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/112990901/static.png
c9c94952-b96c-11e4-a802-0aaa78deedf9	Prone Firing Rifle	Prone Fire Rifle Upper Body	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/112990903/static.png
c9c878a5-b96c-11e4-a802-0aaa78deedf9	Prone Forward	Moving Forward While In Prone Position	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/112980901/static.png
c9c95057-b96c-11e4-a802-0aaa78deedf9	Prone Forward Stop	Prone Move Forward To Stop In Prone Position	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117380902/static.png
c9c875ba-b96c-11e4-a802-0aaa78deedf9	Prone Idle	Lying Down Prone With Rifle	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/113000901/static.png
c9c94a11-b96c-11e4-a802-0aaa78deedf9	Prone Left Turn	Turning Left While Prone	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117510901/static.png
c9c943dc-b96c-11e4-a802-0aaa78deedf9	Prone Left Turn	Turning Left While Prone Game Blend	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117510902/static.png
c9c87673-b96c-11e4-a802-0aaa78deedf9	Prone Reloading	Reloading Rifle In Prone	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/115780901/static.png
c9c944a4-b96c-11e4-a802-0aaa78deedf9	Prone Right Turn	Turning Right While Prone	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117520901/static.png
c9c93b5c-b96c-11e4-a802-0aaa78deedf9	Prone Right Turn	Turning Right While Prone Game Blend	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/117520902/static.png
c9c86fc2-b96c-11e4-a802-0aaa78deedf9	Prone Roll	Rifle Prone Rolling Right	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/115800901/static.png
c9c9390c-b96c-11e4-a802-0aaa78deedf9	Prone Roll	Rifle Prone Rolling Right Game Blend	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/115800902/static.png
c9c8772f-b96c-11e4-a802-0aaa78deedf9	Prone To Crouch Transition	Transition From Prone To Crouch	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/115820901/static.png
c9c9aef0-b96c-11e4-a802-0aaa78deedf9	Pull Heavy Object	Pulling A Heavy Object	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/118360901/static.png
c9c9b139-b96c-11e4-a802-0aaa78deedf9	Pull Heavy Object Start	Start To Pull A Heavy Object	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/118360902/static.png
c9c9b37a-b96c-11e4-a802-0aaa78deedf9	Pull Heavy Object Stop	Stop Pulling A Heavy Object	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/118360903/static.png
c9c8a4a8-b96c-11e4-a802-0aaa78deedf9	Pull Pilot From Seat	Pull Pilot Out Of Seat And Take The Controls	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/135520901/static.png
c9cd9ead-b96c-11e4-a802-0aaa78deedf9	Pull Plant	Kneeling Pulling Up A Plant	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/126810901/static.png
c9cd9de5-b96c-11e4-a802-0aaa78deedf9	Pull Plant	Standing Pulling Up A Plant	human	https://d99n9xvb9513w.cloudfront.net/thumbnails/motions/126800901/static.png
